strategy,params,sharpe,sortino,cumulative_pnl_pct,max_drawdown_pct,win_rate_pct,trades_triggered,profit_factor,status
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",0.339,0.0808,0.7419,0.5691,46.15,39,1.3819,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-0.2763,-0.0746,-1.0898,2.6136,41.38,87,0.8376,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 5}",0.71,0.2083,1.2118,0.2329,52.94,17,3.2413,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-0.0947,-0.0265,-0.3117,1.9481,42.19,64,0.9321,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.2, 'profit_threshold': 0.07, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",0.5371,0.1461,1.3533,0.6245,50.0,50,1.6032,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.4, 'kelly_cap': 0.3, 'profit_threshold': 0.07, 'hard_stop_loss': 0.035, 'max_concurrent_trades': 10}",0.6756,0.2051,1.1698,0.2909,50.0,18,2.9512,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 5}",-1.9198,-0.5822,-10.9525,10.9525,36.92,195,0.3773,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 5}",-0.6107,-0.1192,-2.7441,3.3443,48.48,66,0.6171,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.03, 'max_concurrent_trades': 10}",-0.3784,-0.0794,-1.9532,3.195,52.22,90,0.7793,ok
standard,"{'prob_threshold': 0.3, 'kelly_multiplier': 0.6, 'kelly_cap': 0.2, 'profit_threshold': 0.05, 'hard_stop_loss': 0.025, 'max_concurrent_trades': 10}",-1.8612,-0.6662,-13.695,13.8727,38.1,294,0.4501,ok
